slug,place_type,name,summary,description,address_text,local_tip,status,area_slug,source_name,last_verified_at,foreigner_friendly,phone,website_url,naver_map_url,kakao_map_url
seongsu-yeonmujang-gil,shopping,Seongsu Yeonmujang-gil,"A lively Seongsu street where former factory spaces, boutiques, cafes and pop-up stores mix with the neighborhood's industrial character.","Yeonmujang-gil is one of Seongsu's main walking streets. Old industrial buildings and shoe-factory traces sit alongside fashion stores, cafes, galleries and frequently changing brand pop-ups. It works well as a central axis for exploring Seongsu on foot.","1 Yeonmujang-gil, Seongdong-gu, Seoul","Start near Seongsu Station and explore the side streets as well as the main road. Pop-up schedules change often, so check current listings before visiting.",draft,seongsu,Locorea Editorial,2026-09-25,true,,,,
daelim-warehouse-gallery,cafe,Daelim Warehouse Gallery,"A landmark warehouse-style cultural space in Seongsu combining a cafe, dining, gallery and industrial architecture.","Daelim Warehouse preserves much of the structure and character of an older industrial building, including red brick and exposed structural elements. The large interior combines cafe, dining and gallery functions and is one of the best-known examples of Seongsu's warehouse regeneration style.","78 Seongsui-ro, Seongdong-gu, Seoul",Pair it with a walk along Yeonmujang-gil. The space is especially useful as a break between shopping stops.,draft,seongsu,Locorea Editorial,2026-09-25,true,+82-507-1390-9669,,,
seongsu-dong-galbi-alley,restaurant,Seongsu-dong Galbi Alley,A long-running food alley near Seoul Forest known for Korean-style grilled ribs and an older local atmosphere.,Seongsu-dong Galbi Alley developed around a cluster of galbi restaurants and offers a very different mood from Seongsu's newer cafes and concept stores. It is useful for travelers who want a traditional local meal within walking distance of Seoul Forest.,"27 Seoulsup 4-gil, Seongdong-gu, Seoul",Meal times can be busy. Visit before the main lunch or dinner rush if you prefer a quieter experience.,draft,seongsu,Locorea Editorial,2026-09-25,true,,,,
amore-seongsu,experience,AMORE Seongsu,A K-beauty experience space in Seongsu where visitors can explore products and personalized beauty services in a renovated industrial setting.,AMORE Seongsu is designed as an experiential beauty space rather than a conventional shop. Visitors can explore a wide range of beauty products and services in a renovated building with a garden-focused interior.,"7 Achasan-ro 11-gil, Seongdong-gu, Seoul",Some personalized beauty experiences may require reservations. Check the current program before visiting.,draft,seongsu,Locorea Editorial,2026-09-25,true,+82-2-469-8600,https://www.amore-seongsu.com,,
musinsa-kicks-seongsu,shopping,Musinsa Kicks Seongsu,"A shoe-focused select shop near Seongsu Station combining footwear curation, fitting and smart in-store shopping features.",Musinsa Kicks Seongsu connects Seongsu's long shoe-making history with contemporary footwear retail. The multi-level store carries a wide range of footwear categories and provides a practical stop for travelers interested in Korean fashion and sneaker culture.,"B1-2F, 96 Seongsui-ro, Seongdong-gu, Seoul","It is very close to Seongsu Station, so it works well as either the first or last stop of a Seongsu shopping route.",draft,seongsu,Locorea Editorial,2026-09-25,true,+82-50-7872-3069,,,
scene-seongsu,cafe,Scene Seongsu,A large cafe and select-shop space in Seongsu that also hosts pop-up events.,"Scene is a multi-use cafe space in the Seongsu cafe district. The first floor operates as a cafe and the upper level functions as a select shop, while the venue is also used for temporary pop-ups and brand events.","1F, 20 Yeonmujang 5-gil, Seongdong-gu, Seoul","Because the space can host pop-ups, the atmosphere may change between visits. Check what is running when you plan your trip.",draft,seongsu,Locorea Editorial,2026-09-25,true,+82-507-1493-2127,,,
mokro-garden,cafe,Mokro Garden,"A plant-filled cafe near Seoul Forest serving coffee, tea and vegan or gluten-free desserts.",Mokro Garden combines a cafe with a gardening-oriented interior filled with plants and flowers. It is a calmer option near Seoul Forest and can work well for travelers looking for plant-based or gluten-free dessert choices.,"3F-4F, 47 Seoulsup 2-gil, Seongdong-gu, Seoul",Use this as a quieter Seoul Forest-side stop before heading toward the busier streets around Seongsu Station.,draft,seongsu,Locorea Editorial,2026-09-25,true,+82-507-1362-3186,,,
romantic-move-seongsu,shopping,Romantic Move Seongsu Flagship Store,A Seongsu flagship store for a Korean shoe brand focused on craftsmanship and timeless footwear design.,Romantic Move's Seongsu flagship reflects the neighborhood's continuing connection to handmade footwear. It is a useful stop for travelers who want to see a contemporary Korean shoe brand within Seongsu's traditional shoe-making district.,"1F, 36 Seongsui-ro 18-gil, Seongdong-gu, Seoul",Combine this stop with Seongsu Handmade Shoe Street to compare the area's traditional and contemporary footwear culture.,draft,seongsu,Locorea Editorial,2026-09-25,true,+82-2-498-7749,,,
seoul-forest,nature,Seoul Forest,A large urban park in the Seongsu area.,"Seoul Forest is a popular place to start exploring Seongsu. It combines green space with easy access to nearby cafes, shops and local streets.","Seongsu-dong, Seongdong-gu, Seoul",Combine Seoul Forest with nearby cafes and shopping for an easy half-day route.,draft,seongsu,Seoul Metropolitan Government,,true,,,,
cafe-onion-seongsu,cafe,Cafe Onion Seongsu,An industrial-style cafe stop in Seongsu.,A popular-style cafe experience that fits naturally into a Seongsu walking route.,"Seongsu-dong, Seongdong-gu, Seoul","Weekends in Seongsu can be busy, so allow extra time when planning cafe stops.",draft,seongsu,Locorea Editorial,,true,,,,
seongsu-handmade-shoe-street,shopping,Seongsu Handmade Shoe Street,A local shopping area connected to Seongsu's manufacturing history.,The area offers a different side of Seongsu beyond cafes and pop-up stores.,"Seongsu-dong, Seongdong-gu, Seoul",Explore side streets rather than staying only on the main commercial roads.,draft,seongsu,Locorea Editorial,,true,,,,
