slug,place_type,name,summary,description,address_text,local_tip,status,area_slug,source_name,last_verified_at,foreigner_friendly,phone,website_url,naver_map_url,kakao_map_url,source_url,research_note
omot-seongsu,cafe,OMOT,A Korean tea house near Seoul Forest focused on seasonal tea courses and traditional sweets.,"OMOT is a Korean tea specialty space in Seongsu where visitors can experience seasonal teas, traditional sweets and a slower tea-focused break from the busier shopping streets.","B1, 12 Seoulsup 2-gil, Seongdong-gu, Seoul",Check the latest reservation method and session times before making a special trip.,draft,seongsu,Locorea Editorial,2026-09-26,,+82-10-2425-9192,,,,https://english.visitseoul.net/area/OMOT-/ENPanhrla,Verified against the official Visit Seoul listing on 2026-09-26.
haus-nowhere-seoul,shopping,GENTLE MONSTER HAUS NOWHERE SEOUL,"An immersive Seongsu flagship that blends eyewear retail, exhibitions and large-scale spatial design.",HAUS NOWHERE SEOUL is a concept-driven flagship in Seongsu that combines retail with installation-like environments and changing brand experiences.,"433 Ttukseom-ro, Seongdong-gu, Seoul",Treat it like both a shop and an exhibition stop; allow extra time if a new installation or pop-up is running.,draft,seongsu,Locorea Editorial,2026-09-26,,1660-1010,,,,https://english.visitseoul.net/area/HAUSNOWHERESEOUL/ENP3o3i2c,Verified against the official Visit Seoul listing on 2026-09-26.
nyunyu-house-seongsu-station,shopping,NYUNYU HOUSE Seongsu Station Branch,"A multi-floor lifestyle shop near Seongsu Station with fashion accessories, stationery, decor and gift items.","NYUNYU HOUSE Seongsu Station Branch carries fashion accessories, bags, clothing, stationery, interior items and small gifts across several floors.","B1-3F, 93 Seongsui-ro, Seongdong-gu, Seoul","It is very close to Seongsu Station, so it works well as a first or last shopping stop.",draft,seongsu,Locorea Editorial,2026-09-26,,+82-507-1360-7362,,,,https://english.visitseoul.net/area/NYUNYU-HOUSE/ENPmwrtiq,Verified against the official Visit Seoul listing on 2026-09-26.
musinsa-empty-seongsu,shopping,MUSINSA EMPTY,A multi-floor concept store near Seongsu Station featuring curated Korean and international designer brands.,"MUSINSA EMPTY presents fashion and lifestyle labels in a concept-store format and also hosts changing pop-ups, exhibitions and performances.","1F-4F, 97 Seongsui-ro, Seongdong-gu, Seoul",Check current pop-ups before visiting if you are going for a specific brand or event.,draft,seongsu,Locorea Editorial,2026-09-26,,+82-2-1833-9118,,,,https://english.visitseoul.net/area/EMPTY/ENPoigt91,Verified against the official Visit Seoul listing on 2026-09-26.
cosmos-grocery-seongsu,restaurant,Cosmos Grocery Seongsu,A plant-based brunch cafe and grocery space combining vegan food with a small lifestyle retail section.,"Cosmos Grocery Seongsu combines a vegan brunch cafe with a grocery corner for plant-based products, making it a useful meat-free stop in central Seongsu.","1F Unit 106-2, Seoul Forest Kolon Digital Tower 2, 27 Seongsui-ro 7-gil, Seongdong-gu, Seoul",Check the latest menu and hours before visiting.,draft,seongsu,Locorea Editorial,2026-09-26,,+82-507-1402-7878,,,,https://english.visitseoul.net/area/CosmosgrocerySeongsu/ENPstf3z3,Verified against the official Visit Seoul listing on 2026-09-26.
somunnan-seongsu-gamjatang,restaurant,Somunnan Seongsu Gamjatang,A long-running Seongsu restaurant known for Korean pork-bone soup and a straightforward local dining atmosphere.,"Somunnan Seongsu Gamjatang is a well-known local restaurant serving gamjatang, a hearty Korean pork-bone soup, and offers a more traditional food stop than the neighborhood's trend-led cafes.","Seongsu-dong, Seongdong-gu, Seoul","Popular meal periods can be busy, so allow extra time around lunch or dinner.",draft,seongsu,Locorea Editorial,2026-09-26,,,,,,,https://english.visitseoul.net/area/SeongsuGamjatang/ENPlceoxk,Verified against the official Visit Seoul listing on 2026-09-26. Exact address should be rechecked in Admin before approval.
seongsu-yeonbang,culture,Seongsu Yeonbang,"A regenerated lifestyle and culture complex mixing shops, food spaces and small cultural programs in Seongsu.","Seongsu Yeonbang is a lifestyle-focused cultural complex that brings together independent retail, food and shared cultural spaces in a repurposed industrial setting.","14 Seongsui-ro 14-gil, Seongdong-gu, Seoul","Individual tenants can have different hours, so check the specific shop you want to visit.",draft,seongsu,Locorea Editorial,2026-09-26,,+82-10-8979-8122,,,,https://english.visitseoul.net/other/seongsu-yeonbang/ENP028794,Verified against the official Visit Seoul listing on 2026-09-26.
dwaeji-gomtang-hau-seongsu,restaurant,Dwaeji Gomtang HAU Seongsu Main Branch,A Seongsu restaurant specializing in clear pork gomtang and Korean-style comfort dishes.,"HAU Seongsu Main Branch focuses on clear pork gomtang, with other Korean dishes such as cold noodles and seaweed soup also appearing on the menu.","Unit 2, 1F, 36 Achasan-ro 7-gil, Seongdong-gu, Seoul","The restaurant has a mid-afternoon break, so check the current last-order and break times before visiting.",draft,seongsu,Locorea Editorial,2026-09-26,,+82-507-1469-1453,,,,https://english.visitseoul.net/area/hau/ENP2aitm6,Verified against the official Visit Seoul listing on 2026-09-26.
medicube-flagship-store-seongsu,experience,Medicube Flagship Store,An interactive K-beauty flagship where visitors can test skincare products and beauty devices.,"Medicube's Seongsu flagship combines retail with hands-on beauty experiences, including skincare products, AGE-R beauty devices and interactive brand activities.","40 Seongsui-ro 7-gil, Seongdong-gu, Seoul",Allow time for the experience areas rather than treating it as a quick shopping stop.,draft,seongsu,Locorea Editorial,2026-09-26,,+82-70-4147-8623,,,,https://english.visitseoul.net/area/MedicubeFlagshipStore/ENP1lezus,Verified against the official Visit Seoul listing on 2026-09-26.
seongsu-self-photo-booth,experience,Seongsu Self Photo Booth,A self-photo experience on Yeonmujang-gil reflecting the themed photo-booth culture popular in Seongsu.,"Self-photo booths are a common part of Seongsu's casual entertainment scene, with themed studios offering different backdrops and concepts.","43-1 Yeonmujang-gil, Seongdong-gu, Seoul",Look at the booth theme before paying; different studios focus on different visual concepts.,draft,seongsu,Locorea Editorial,2026-09-26,,,,,,,https://english.visitseoul.net/other/Seongsu-SelfPhoto/ENP0cezb3,Verified against the official Visit Seoul listing on 2026-09-26.
